HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,SOUTHERN_SCH_GATE_AREA,NORTHERN_SCH,NORTHERN_SCH_GATE_AREA,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timeStamp
4577,883,983,148,696,296,1243,587,163,22,2023-03-19-07-41
4325,898,1009,148,701,298,971,560,163,23,2023-03-19-07-53
4459,886,1046,142,710,300,1111,521,163,22,2023-03-19-08-07
4204,877,1043,127,731,305,900,470,161,22,2023-03-19-08-21
3957,865,1101,115,755,301,636,416,163,21,2023-03-19-08-32
4398,876,1170,161,776,271,1010,379,165,22,2023-03-19-08-45
4392,846,1238,164,717,200,1041,365,166,19,2023-03-19-09-01
4275,802,1283,170,710,199,956,340,167,17,2023-03-19-09-12
4218,772,1321,174,701,163,922,321,163,18,2023-03-19-09-25
4389,725,1407,171,740,181,984,358,160,15,2023-03-19-10-06
4232,681,1414,170,746,178,862,378,136,15,2023-03-19-10-18
4054,656,1427,168,713,134,723,390,135,10,2023-03-19-10-35
4231,683,1383,169,654,111,981,388,132,10,2023-03-19-10-48
4174,733,1393,169,631,71,915,357,137,8,2023-03-19-11-03
4273,741,1379,163,620,62,1026,357,141,9,2023-03-19-11-15
4378,773,1355,162,591,58,1066,445,139,9,2023-03-19-11-32
4471,808,1311,166,481,55,1224,496,139,12,2023-03-19-11-45
4357,851,1241,168,463,56,1155,493,140,14,2023-03-19-12-00
4309,829,1246,168,455,56,1148,471,143,17,2023-03-19-12-13
4343,857,1187,164,465,57,1171,507,139,17,2023-03-19-12-26
4302,822,1217,160,465,58,1132,511,137,18,2023-03-19-12-39
4323,776,1255,161,463,58,1157,507,147,18,2023-03-19-12-52
4429,838,1280,156,477,57,1201,472,145,16,2023-03-19-13-05
4568,841,1291,158,500,79,1349,432,139,16,2023-03-19-13-19
4460,872,1337,154,500,77,1199,392,144,16,2023-03-19-13-38
4551,865,1337,156,503,83,1323,371,142,10,2023-03-19-13-52
4534,862,1388,148,514,86,1245,369,146,10,2023-03-19-14-04
4494,831,1393,148,544,108,1207,359,148,12,2023-03-19-14-17
4620,822,1419,148,542,107,1316,360,147,14,2023-03-19-14-30
4476,815,1406,141,536,103,1189,363,151,16,2023-03-19-14-42
4626,809,1418,142,535,101,1325,369,153,17,2023-03-19-14-54
4643,800,1436,144,556,104,1315,369,150,17,2023-03-19-15-07
4488,808,1421,149,555,101,1168,370,149,17,2023-03-19-15-20
4611,799,1416,146,554,101,1320,362,147,13,2023-03-19-15-32
4487,802,1408,150,559,95,1201,356,148,13,2023-03-19-15-45
4458,808,1399,145,546,91,1197,348,147,13,2023-03-19-15-58
4313,776,1391,141,558,112,1070,361,144,13,2023-03-19-16-10
4581,777,1361,140,554,115,1334,402,142,11,2023-03-19-16-25
4497,795,1277,146,587,144,1283,399,144,12,2023-03-19-16-39
4496,771,1270,144,582,131,1291,424,146,12,2023-03-19-16-53
4440,742,1277,141,572,117,1233,437,152,27,2023-03-19-17-06
4506,802,1241,140,544,110,1317,447,146,9,2023-03-19-17-26
4445,797,1239,140,538,104,1254,462,144,11,2023-03-19-17-39
4427,795,1255,141,529,103,1196,494,146,12,2023-03-19-17-52
4554,776,1281,147,525,92,1320,491,149,12,2023-03-19-18-05
4568,741,1336,155,507,89,1330,495,147,12,2023-03-19-18-19
4569,717,1443,155,510,84,1250,488,148,13,2023-03-19-18-33
4499,705,1465,157,508,80,1206,453,151,11,2023-03-19-18-45
4600,726,1437,153,512,80,1266,499,149,11,2023-03-19-18-57
4566,719,1470,159,513,80,1241,458,152,13,2023-03-19-19-09
4552,716,1473,160,511,78,1181,505,154,12,2023-03-19-19-24
4654,717,1464,160,515,77,1279,513,154,12,2023-03-19-19-36
4652,724,1463,160,513,76,1263,524,150,15,2023-03-19-20-10
4583,729,1429,159,512,74,1219,530,150,14,2023-03-19-20-23
4637,732,1438,162,511,73,1260,530,150,16,2023-03-19-20-37
4487,741,1361,161,508,73,1174,534,152,17,2023-03-19-20-51
4619,800,1307,161,517,72,1286,542,151,16,2023-03-19-21-04
4630,806,1297,162,517,72,1300,544,151,15,2023-03-19-21-16
4639,809,1267,157,515,72,1335,546,151,16,2023-03-19-21-29
4267,743,1238,157,525,72,1034,559,151,17,2023-03-19-21-45
4608,827,1228,155,520,70,1280,583,153,17,2023-03-19-21-57
4264,760,1183,153,521,69,1039,592,153,16,2023-03-19-22-09
4339,836,1182,153,497,71,1060,596,152,16,2023-03-19-22-31
4350,879,1174,154,501,71,1025,605,151,15,2023-03-19-22-50
4573,886,1177,154,500,70,1242,602,152,14,2023-03-19-23-04
4058,802,1132,154,503,69,854,602,151,14,2023-03-19-23-16
4165,811,1163,156,505,70,935,585,152,14,2023-03-19-23-32
4163,878,1158,155,505,71,902,550,155,15,2023-03-19-23-48
