HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,NORTHERN_SCH,DE_AREA,C_AREA,MALL_AREA,COLONY_AREA,timeStamp
2838,111,1940,668,56,17,41,5,2022-11-16-09-04
2844,108,1937,664,50,37,43,5,2022-11-16-09-14
2843,88,1943,671,70,25,41,5,2022-11-16-09-24
2895,106,1980,661,58,47,38,5,2022-11-16-09-37
2847,55,2010,634,51,59,34,4,2022-11-16-09-50
2654,138,1820,506,64,82,33,11,2022-11-16-10-01
2802,148,1921,564,60,70,33,6,2022-11-16-10-19
2811,182,1893,553,73,70,34,6,2022-11-16-10-29
2883,202,1884,578,93,81,39,6,2022-11-16-10-42
2758,249,1673,598,111,79,41,7,2022-11-16-10-52
2901,265,1801,571,114,98,45,7,2022-11-16-11-01
2869,289,1709,556,123,141,44,7,2022-11-16-11-11
2907,307,1705,519,124,201,45,6,2022-11-16-11-21
2839,327,1561,520,145,236,43,7,2022-11-16-11-31
2828,804,766,320,431,453,45,9,2022-11-16-11-50
2712,965,595,238,361,476,58,19,2022-11-16-12-01
2780,1014,568,226,435,453,63,21,2022-11-16-12-12
2902,1081,497,237,546,452,68,21,2022-11-16-12-28
2601,1056,387,207,424,435,64,28,2022-11-16-12-38
2754,993,455,213,587,415,64,27,2022-11-16-12-50
2691,951,491,226,572,363,63,25,2022-11-16-13-03
2638,871,566,222,575,321,58,25,2022-11-16-13-16
2354,745,638,243,368,276,61,23,2022-11-16-13-24
2659,756,770,277,538,244,57,17,2022-11-16-13-34
2455,670,806,281,381,239,60,18,2022-11-16-13-41
2687,721,840,291,518,239,60,18,2022-11-16-13-52
2707,721,857,300,511,241,62,15,2022-11-16-14-00
2691,711,859,299,503,244,60,15,2022-11-16-14-08
2659,703,850,289,498,242,61,16,2022-11-16-14-18
2683,709,861,300,488,245,63,17,2022-11-16-14-26
2713,698,857,323,503,248,67,17,2022-11-16-14-35
2729,696,883,325,488,250,67,20,2022-11-16-14-45
2714,683,872,315,496,261,66,21,2022-11-16-14-56
2682,661,822,307,542,265,64,21,2022-11-16-15-06
2704,709,819,261,564,268,65,18,2022-11-16-15-20
2620,744,749,248,525,267,70,17,2022-11-16-15-28
2750,799,737,257,585,282,73,17,2022-11-16-15-38
2832,811,721,313,590,304,75,18,2022-11-16-15-50
2802,784,693,290,613,327,77,18,2022-11-16-15-59
2911,863,680,291,623,358,79,17,2022-11-16-16-08
2919,868,666,283,634,368,83,17,2022-11-16-16-18
2892,885,661,277,617,355,81,16,2022-11-16-16-29
2971,878,675,269,647,402,84,16,2022-11-16-16-39
2928,896,669,265,598,399,86,15,2022-11-16-16-49
2453,719,665,257,309,403,86,14,2022-11-16-16-57
2986,914,687,262,599,424,86,14,2022-11-16-17-10
2868,877,704,266,495,429,83,14,2022-11-16-17-18
3063,932,696,281,632,422,84,16,2022-11-16-17-28
3045,934,697,262,635,414,86,17,2022-11-16-17-38
3042,930,712,266,617,418,82,17,2022-11-16-17-48
3015,918,723,277,581,413,85,18,2022-11-16-17-56
2789,802,781,283,416,408,83,16,2022-11-16-18-12
2928,804,842,280,507,396,83,16,2022-11-16-18-23
2995,788,909,314,498,385,88,13,2022-11-16-18-32
3009,795,902,336,499,376,88,13,2022-11-16-18-54
3011,801,896,337,485,391,88,13,2022-11-16-19-04
3032,806,887,335,513,387,91,13,2022-11-16-19-13
3001,788,872,335,515,389,90,12,2022-11-16-19-21
