HALL_bike_sum,WANDERING_bike_sum,SOUTHERN_SCH,NORTHERN_SCH,DE_AREA,C_AREA,MALL_AREA,timeStamp
2892,885,661,277,617,355,81,2022-11-16-16-29
2971,878,675,269,647,402,84,2022-11-16-16-39
2928,896,669,265,598,399,86,2022-11-16-16-49
2453,719,665,257,309,403,86,2022-11-16-16-57
2986,914,687,262,599,424,86,2022-11-16-17-10
2868,877,704,266,495,429,83,2022-11-16-17-18
3063,932,696,281,632,422,84,2022-11-16-17-28
3045,934,697,262,635,414,86,2022-11-16-17-38
3042,930,712,266,617,418,82,2022-11-16-17-48
3015,918,723,277,581,413,85,2022-11-16-17-56
2789,802,781,283,416,408,83,2022-11-16-18-12
2928,804,842,280,507,396,83,2022-11-16-18-23
2995,788,909,314,498,385,88,2022-11-16-18-32
3009,795,902,336,499,376,88,2022-11-16-18-54
3011,801,896,337,485,391,88,2022-11-16-19-04
3032,806,887,335,513,387,91,2022-11-16-19-13
3001,788,872,335,515,389,90,2022-11-16-19-21
3004,787,865,332,527,389,92,2022-11-16-19-31
3006,789,863,328,530,391,92,2022-11-16-19-39
3003,786,857,329,534,394,90,2022-11-16-19-49
2762,721,856,328,365,389,89,2022-11-16-19-56
2987,795,826,325,551,389,88,2022-11-16-20-05
2990,800,803,321,572,392,88,2022-11-16-20-15
3017,830,781,325,576,402,89,2022-11-16-20-24
3050,853,768,316,608,405,88,2022-11-16-20-32
2969,848,743,312,554,410,89,2022-11-16-20-42
2928,851,646,293,616,420,89,2022-11-16-20-53
2989,895,593,292,668,438,89,2022-11-16-21-06
3019,926,579,289,668,458,84,2022-11-16-21-16
3010,930,564,290,668,461,82,2022-11-16-21-26
3029,923,550,302,682,474,82,2022-11-16-21-35
3054,946,519,301,712,476,84,2022-11-16-21-46
2696,891,489,299,439,477,85,2022-11-16-21-54
2935,945,477,308,634,470,86,2022-11-16-22-03
2691,887,461,312,429,500,86,2022-11-16-22-11
2914,943,447,309,609,504,86,2022-11-16-22-21
2916,928,445,312,620,509,86,2022-11-16-22-29
3032,967,435,315,738,477,84,2022-11-16-22-39
3064,957,426,318,747,518,81,2022-11-16-22-51
3050,975,423,322,738,495,80,2022-11-16-23-02
3079,960,422,322,751,525,83,2022-11-16-23-12
3101,979,420,322,754,527,83,2022-11-16-23-23
3099,976,415,322,760,527,83,2022-11-16-23-40
2521,792,413,321,369,528,82,2022-11-16-23-48
3090,985,396,320,761,530,82,2022-11-16-23-59
2569,832,411,323,401,505,81,2022-11-17-00-07
3100,982,410,322,755,532,82,2022-11-17-00-46
3121,986,409,324,761,542,82,2022-11-17-01-24
3079,972,410,324,757,514,83,2022-11-17-02-03
3025,954,409,324,699,540,80,2022-11-17-02-40
3097,990,409,324,729,543,83,2022-11-17-03-17
3047,992,409,324,679,543,83,2022-11-17-03-55
3050,983,408,324,725,513,82,2022-11-17-04-33
2467,810,407,325,371,458,81,2022-11-17-05-09
3021,991,406,326,740,461,81,2022-11-17-05-47
2860,976,412,327,539,505,84,2022-11-17-06-24
2841,940,411,327,527,534,84,2022-11-17-06-34
3117,990,413,326,754,534,82,2022-11-17-06-44
2511,760,414,325,385,528,81,2022-11-17-06-51
3047,976,420,325,735,496,78,2022-11-17-07-02
2853,843,628,298,596,398,75,2022-11-17-07-29
2804,718,935,311,508,250,69,2022-11-17-07-43
2865,682,1131,338,453,180,66,2022-11-17-07-58
2788,535,1358,339,383,104,58,2022-11-17-08-09
2788,408,1503,366,352,100,50,2022-11-17-08-21
2686,367,1442,382,363,76,47,2022-11-17-08-35
2912,335,1726,359,339,92,51,2022-11-17-08-49
2930,286,1798,400,288,101,47,2022-11-17-09-10
2916,316,1844,386,261,56,45,2022-11-17-09-25
2699,304,1724,340,241,33,43,2022-11-17-09-37
2836,270,1923,294,251,41,42,2022-11-17-09-49
2750,279,1818,312,240,46,43,2022-11-17-10-02
2670,304,1704,328,246,53,24,2022-11-17-10-16
2761,392,1592,364,284,85,28,2022-11-17-10-28
2842,403,1577,371,305,138,29,2022-11-17-10-38
2937,437,1590,372,333,158,28,2022-11-17-10-48
2949,445,1531,370,346,207,31,2022-11-17-11-02
2823,453,1353,346,342,271,39,2022-11-17-11-10
3038,493,1399,301,391,389,46,2022-11-17-11-33
2899,666,998,263,444,463,45,2022-11-17-11-46
2881,806,876,298,416,421,43,2022-11-17-11-58
3017,851,772,315,500,508,49,2022-11-17-12-11
3017,868,722,374,505,467,58,2022-11-17-12-28
2960,846,708,378,494,427,83,2022-11-17-12-38
2895,797,705,411,450,423,87,2022-11-17-12-51
2828,755,740,420,474,335,85,2022-11-17-13-03
2796,630,954,481,411,214,86,2022-11-17-13-16
2681,477,1190,541,340,42,75,2022-11-17-13-29
2798,435,1355,563,330,40,59,2022-11-17-13-40
2876,419,1447,559,340,37,65,2022-11-17-13-51
2866,427,1454,533,335,39,69,2022-11-17-14-02
2861,404,1475,528,336,64,46,2022-11-17-14-13
2833,380,1500,527,340,35,43,2022-11-17-14-24
2893,350,1544,559,352,30,49,2022-11-17-14-36
2859,364,1519,538,330,49,52,2022-11-17-14-48
2848,353,1513,544,330,53,48,2022-11-17-15-02
2775,312,1515,460,312,120,49,2022-11-17-15-15
2666,314,1448,427,293,125,52,2022-11-17-15-25
2764,341,1475,424,283,182,53,2022-11-17-15-35
2724,347,1413,398,302,206,52,2022-11-17-15-46
2899,384,1421,405,330,291,61,2022-11-17-16-07
2864,450,1361,356,325,298,65,2022-11-17-16-21
2783,472,1239,324,363,307,70,2022-11-17-16-34
2817,560,1027,369,403,378,71,2022-11-17-16-52
2652,636,781,300,426,409,91,2022-11-17-17-02
2560,696,697,305,391,368,95,2022-11-17-17-14
2674,726,619,290,488,422,112,2022-11-17-17-28
2627,673,627,345,461,400,107,2022-11-17-17-41
2573,644,661,353,442,360,102,2022-11-17-17-55
2499,558,760,418,373,264,118,2022-11-17-18-09
2497,398,989,509,273,197,124,2022-11-17-18-22
2579,401,1120,551,186,187,126,2022-11-17-18-37
2515,414,1122,541,165,146,120,2022-11-17-18-48
2584,425,1149,576,167,139,120,2022-11-17-18-58
2577,435,1126,603,155,123,127,2022-11-17-19-08
2504,466,1005,614,163,121,128,2022-11-17-19-16
2616,487,1053,628,170,138,132,2022-11-17-19-26
2621,514,1032,619,181,126,141,2022-11-17-19-35
2665,537,1024,607,180,167,142,2022-11-17-19-46
2703,569,1003,604,188,192,139,2022-11-17-19-56
2716,608,958,574,236,193,139,2022-11-17-20-07
2700,622,891,570,247,222,138,2022-11-17-20-15
2687,659,794,555,270,261,139,2022-11-17-20-25
2614,733,673,525,266,270,138,2022-11-17-20-34
2723,767,636,478,356,327,144,2022-11-17-20-47
2659,850,465,423,399,357,149,2022-11-17-20-57
2618,870,451,403,396,337,144,2022-11-17-21-07
